name,playcount,listeners,mbid,url,streamable
The All-American Rejects,49998205,2130866,09885b8e-f235-4b80-a02a-055539493173,https://www.last.fm/music/The+All-American+Rejects,0
Marvin Gaye,37878824,2129699,afdb7919-059d-43c1-b668-ba1d265e7e42,https://www.last.fm/music/Marvin+Gaye,0
Sigur Rós,133748359,2127957,f6f2326f-6b25-4170-b89d-e235b25508e8,https://www.last.fm/music/Sigur+R%C3%B3s,0
Lupe Fiasco,43497679,2124426,cf15719f-51f9-4db8-a15d-5eed9664ce69,https://www.last.fm/music/Lupe+Fiasco,0
Nas,57198125,2121631,cfbc0924-0035-4d6c-8197-f024653af823,https://www.last.fm/music/Nas,0
M83,90798572,2113862,6d7b7cd4-254b-4c25-83f6-dd20f98ceacd,https://www.last.fm/music/M83,0
Bob Marley & The Wailers,68032067,2088738,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,https://www.last.fm/music/Bob+Marley+&+The+Wailers,0
Breaking Benjamin,80823859,2078142,854a1807-025b-42a8-ba8c-2a39717f1d25,https://www.last.fm/music/Breaking+Benjamin,0
Röyksopp,77344239,2077505,1c70a3fc-fa3c-4be1-8b55-c3192db8a884,https://www.last.fm/music/R%C3%B6yksopp,0
Lynyrd Skynyrd,34587942,2076961,c544ed4d-2390-4442-a83e-1ea2883b09c8,https://www.last.fm/music/Lynyrd+Skynyrd,0
The xx,149829917,2069315,c5c2ea1c-4bde-4f4d-bd0b-47b200bf99d6,https://www.last.fm/music/The+xx,0
Nelly,19371979,2067710,811900b2-68fc-4d41-8bad-69b7a1f4d628,https://www.last.fm/music/Nelly,0
Counting Crows,37703560,2067657,a0327dc2-dc76-44d5-aec6-47cd2dff1469,https://www.last.fm/music/Counting+Crows,0
Alice in Chains,90182594,2066782,4bd95eea-b9f6-4d70-a36c-cfea77431553,https://www.last.fm/music/Alice+in+Chains,0
Feist,70325723,2038110,f463a056-ae06-445b-bab2-449b11482bf2,https://www.last.fm/music/Feist,0
Michael Bublé,56721940,2037237,611700cf-27f0-4dc9-ae80-c513a767853e,https://www.last.fm/music/Michael+Bubl%C3%A9,0
